DonorID,Name,Phone,Email,City,SignupDate,Past_Donations,Reliability_Score,Last_Feedback,Flagged
D000001,Cheryl Nelson,3075524310,lindsay21@example.net,Pune,2024-07-09,4,0.44998745790900146,2025-09-27,False
D000002,Dakota Preston,949-938-4986,jmartinez@example.com,Kolkata,2023-11-15,2,0.8849549260809972,2025-09-27,False
D000003,Michael Gutierrez,465.657.6954x00822,kristen24@example.net,Hyderabad,2023-10-08,0,0.26883173389368265,2025-09-27,True
D000004,Carla Thompson,7106938335,leonardtina@example.com,Lucknow,2025-05-30,3,0.46974693032602094,2025-09-27,False
D000005,Paul Rivas,(866)365-4566x991,drakegordon@example.net,Bhopal,2025-02-14,3,0.6962072844310212,2025-09-27,True
D000006,Nicole Howell,(937)305-3788,beltranjose@example.org,Bengaluru,2024-05-05,2,0.8711008778424264,2025-09-27,False
D000007,Evan Andrews,(439)320-0404x768,edwardssylvia@example.com,Lucknow,2025-08-20,1,0.7421165132560785,2025-09-27,False
D000008,Patrick Taylor,934.254.5662x8523,jenniferyoung@example.org,Pune,2024-04-09,3,0.4911180438940312,2025-09-27,False
D000009,Dana Rodriguez,+1-328-492-7857x069,cvalenzuela@example.com,Thane,2025-09-17,4,0.8697494707820945,2025-09-27,False
D000010,Valerie Smith,589.226.5040x38912,tristantorres@example.com,Thane,2023-11-07,6,0.6698460661945399,2025-09-27,False
D000011,Brandi Miller,258.803.7984x596,nmays@example.org,Jaipur,2024-11-28,2,0.8010984903770199,2025-09-27,False
D000012,Julie Mclaughlin,2082957193,lauraanderson@example.org,Pune,2024-07-13,2,0.40703991135754225,2025-09-27,False
D000013,Kelly Payne,484.593.7234,kcarney@example.com,Ahmedabad,2024-02-01,2,0.5792328642721363,2025-09-27,False
D000014,Megan Graham,775-547-5296,cody82@example.net,Pune,2025-07-30,2,0.5854091260991332,2025-09-27,False
D000015,Christopher Shaw,(667)235-7035x2559,vthompson@example.com,Kolkata,2024-10-02,4,0.7566223936114975,2025-09-27,False
D000016,Robert Carlson,001-795-552-7434x317,amy93@example.net,Lucknow,2024-06-25,2,0.7553314448428937,2025-09-27,False
D000017,Sherry Johnson,001-728-946-0419x9573,burnettandrea@example.com,Nagpur,2025-07-18,1,0.7182052056318902,2025-09-27,False
D000018,Annette Clayton,(747)523-6934,kfuentes@example.net,Chennai,2024-02-06,4,0.4384899549143965,2025-09-27,False
D000019,Jocelyn Aguirre,001-431-628-2166,johnshea@example.net,Hyderabad,2025-07-28,3,0.6282672852414551,2025-09-27,False
D000020,Kelly Lucas,(340)932-6399x5731,phughes@example.net,Chennai,2024-01-05,5,0.5139675812709709,2025-09-27,False
D000021,Michael Wilson,001-773-754-2703x77296,anthony72@example.com,Chennai,2024-10-25,2,0.667044709687721,2025-09-27,False
D000022,Darlene Fleming,001-931-211-8287x035,daniel32@example.org,Delhi,2025-02-28,1,0.8714548519562596,2025-09-27,False
D000023,James Powell,854-737-2935x39250,sararamos@example.net,Ahmedabad,2024-03-17,5,0.5504391549083849,2025-09-27,False
D000024,Melissa Perry,621.708.8140x95956,andersonerik@example.org,Delhi,2024-02-24,3,0.5725356240133415,2025-09-27,False
D000025,Sheila Chen,001-728-366-1748x6928,wlee@example.com,Thane,2024-05-24,3,0.7360677737029393,2025-09-27,False
D000026,Thomas Bernard,(590)482-2217,calebhill@example.com,Kanpur,2024-02-03,4,0.8082159366096919,2025-09-27,False
D000027,Thomas Fisher,(789)918-9124x20705,jjohnson@example.net,Jaipur,2024-11-30,2,0.6954464715941209,2025-09-27,False
